,"Group name","Hab area (proportion)","Biomass in habitat area (t/km²)","Production / biomass (/year)","Consumption / biomass (/year)","Ecotrophic Efficiency","Other mortality","Production / consumption","Unassim. consumption","Detritus import (t/km²/year)",
1,"Guiana Dolphin",1,0.218,0.13,15.36,,,,0.2,,
2,Cormorants,1,0.042,0.25,65,,,,0.2,,
3,"Piscivorous seabirds",1,0.037,0.25,72,,,,0.2,,
4,"Piscivorous seabirds II",1,0.004,0.25,67,,,,0.2,,
5,"Benthos Birds",1,0.002,0.25,69,,,,0.2,,
6,Turtle,1,,0.15,2.54,0.3,,,0.2,,
7,"Anchovy and Sardines",1,,2.3,15,0.9500005,,,0.3,,
8,SPF,1,,1.61,14,0.95,,,0.2,,
9,MPF,1,0.31,0.69,7.5,,,,0.2,,
10,LFP,1,0.02,0.69,4.9,,,,0.2,,
11,Snooks,1,0.04,0.71,6.68,,,,0.2,,
12,"Pampo and Grunt",1,,1.14,7.7,0.9499999,,,0.2,,
13,Omnivores,1,,1.62,11.14,0.9499999,,,0.2,,
14,Mugelids,1,,1.6,16,0.95,,,0.2,,
15,LRF,1,0.05,0.41,5,,,,0.2,,
16,GRF,1,,0.51,5.48,0.95,,,0.2,,
17,Pufferfishes,1,0.35,2.02,9.35,,,,0.2,,
18,"Skate and Rays",1,0.09,1.59,6.61,,,,0.2,,
19,"Hake - Small",1,,1.02,8.92,0.95,,,0.2,,
20,"Hake- Medium and Large",1,0.12,0.7,4.92,,,,0.2,,
21,Croakers,1,,1,8.36,0.95,,,0.2,,
22,Flatfishes,1,0.07,0.42,4.16,,,,0.2,,
23,Catfishes,1,1.38,0.5,14,,,,0.2,,
24,GDF,1,,1.05,10.24,0.9500002,,,0.2,,
25,SMCF,1,,1.58,35,0.9500001,,,0.2,,
26,Crabs,1,,3,10,0.9499999,,,0.2,,
27,Shrimp,1,,6,26.9,0.95,,,0.2,,
28,"Others Crustaceans",1,,3.3,31,0.9500003,,,0.2,,
29,Infauna,1,,60,350,0.95,,,0.2,,
30,Gastropods,1,,12,19,0.95,,,0.2,,
31,Mussel,1,,55,400,0.9499999,,,0.3,,
32,Equinoderms,1,,0.7,5,0.95,,,0.3,,
33,"Sessile Fauna",1,,2.3,22,0.95,,,0.3,,
34,Jellyfish,1,,5,25,0.95,,,0.3,,
35,Zooplankton,1,3,90,200,,,,0.4,,
36,Macroalgae,1,,15,,0.95,,,,,
37,Seagrass,1,,8,,0.95,,,,,
38,Phytopankton,1,12,300,,,,,,,
39,Detritus,1,16,,,,,,,1,
