,"Source / fate",Detritus,Export,Sum,
1,"Guiana Dolphin",1,0,1,
2,Cormorants,1,0,1,
3,"Piscivorous seabirds",1,0,1,
4,"Piscivorous seabirds II",1,0,1,
5,"Benthos Birds",1,0,1,
6,Turtle,1,0,1,
7,"Anchovy and Sardines",1,0,1,
8,SPF,1,0,1,
9,MPF,1,0,1,
10,LFP,1,0,1,
11,Snooks,1,0,1,
12,"Pampo and Grunt",1,0,1,
13,Omnivores,1,0,1,
14,Mugelids,1,0,1,
15,LRF,1,0,1,
16,GRF,1,0,1,
17,Pufferfishes,1,0,1,
18,"Skate and Rays",1,0,1,
19,"Hake - Small",1,0,1,
20,"Hake- Medium and Large",1,0,1,
21,Croakers,1,0,1,
22,Flatfishes,1,0,1,
23,Catfishes,1,0,1,
24,GDF,1,0,1,
25,SMCF,1,0,1,
26,Crabs,1,0,1,
27,Shrimp,1,0,1,
28,"Others Crustaceans",1,0,1,
29,Infauna,1,0,1,
30,Gastropods,1,0,1,
31,Mussel,1,0,1,
32,Equinoderms,1,0,1,
33,"Sessile Fauna",1,0,1,
34,Jellyfish,1,0,1,
35,Zooplankton,1,0,1,
36,Macroalgae,1,0,1,
37,Seagrass,1,0,1,
38,Phytopankton,1,0,1,
39,Detritus,0,1,1,
