,"Group name","Biomass in habitat area","Production / biomass","Consumption / biomass",Diet,Catch,
1,"Guiana Dolphin",6,4,4,5,6,
2,Cormorants,5,6,4,5,,
3,"Piscivorous seabirds",5,6,4,5,,
4,"Piscivorous seabirds II",5,6,4,5,,
5,"Benthos Birds",5,6,5,5,,
6,Turtle,3,3,3,5,,
7,"Anchovy and Sardines",1,4,4,5,6,
8,SPF,1,1,4,5,,
9,MPF,4,4,4,5,6,
10,LFP,4,4,4,5,6,
11,Snooks,4,4,4,5,6,
12,"Pampo and Grunt",1,4,4,5,6,
13,Omnivores,1,4,4,5,6,
14,Mugelids,1,4,4,5,6,
15,LRF,4,4,4,5,6,
16,GRF,4,4,4,5,6,
17,Pufferfishes,5,4,4,5,6,
18,"Skate and Rays",5,4,4,5,6,
19,"Hake - Small",5,4,4,5,6,
20,"Hake- Medium and Large",4,4,4,5,6,
21,Croakers,4,4,4,5,6,
22,Flatfishes,4,4,4,5,6,
23,Catfishes,5,1,4,5,6,
24,GDF,5,4,4,5,6,
25,SMCF,1,4,4,5,5,
26,Crabs,1,7,3,3,6,
27,Shrimp,1,7,3,3,6,
28,"Others Crustaceans",1,5,3,3,,
29,Infauna,1,5,3,3,,
30,Gastropods,1,5,3,3,,
31,Mussel,1,5,3,3,6,
32,Equinoderms,1,5,3,3,,
33,"Sessile Fauna",1,5,3,3,,
34,Jellyfish,1,1,3,5,,
35,Zooplankton,4,5,3,4,,
36,Macroalgae,1,,,,,
37,Seagrass,1,,,,,
38,Phytopankton,4,8,,,,
39,Detritus,4,,,,,
